key,clientASN,clientASName,download,upload,latencyMs,loss,clientCity,clientCountry,serverPoP
"Ashburn, US (to EWR)",14593,SPACEX-STARLINK,121268769.9,72256984.6,26.23,0.0,Ashburn,US,EWR
"Ashburn, US (to EWR)",14618,AMAZON-AES,17457283.833333332,4649774.722222222,125.28333333333333,0.0,Ashburn,US,EWR
"Ashburn, US (to EWR)",16509,AMAZON-02,75682653.55377907,105501902.33866279,64.4671511627907,0.005720930230170263,Ashburn,US,EWR
"Ashburn, US (to EWR)",22899,UMICO,59434657.14130435,56997730.45652174,28.683695652173913,0.000391304366412026,Ashburn,US,EWR
"Ashburn, US (to EWR)",31898,ORACLE-BMC-31898,10385424.027777778,10761735.722222222,310.8805555555556,0.0659999996423721,Ashburn,US,EWR
"Ashburn, US (to EWR)",33052,VZUNET,24758112.962962963,9004542.111111112,120.91111111111111,0.0,Ashburn,US,EWR
"Ashburn, US (to EWR)",33659,CMCS,10594964.17142857,9887714.368571429,411.07942857142854,0.07550857095846106,Ashburn,US,EWR
"Ashburn, US (to EWR)",44444,Forcepoint-Cloud-AS,17211715.888888888,6953856.805555556,87.45833333333333,0.00649999990127975,Ashburn,US,EWR
"Ashburn, US (to EWR)",55256,NETSKOPE,9921931.111111112,7264861.333333333,71.97222222222223,0.1049999967217445,Ashburn,US,EWR
"Ashburn, US (to EWR)",203724,MGG4-AS1,16582446.444444444,14840527.333333334,125.38888888888889,0.0,Ashburn,US,EWR
"Ashburn, US (to IAD)",174,COGENT-174,21181643.277777776,34236661.42063492,305.9888888888889,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",701,UUNET,138153695.3174442,90843746.0902637,15.655862068965517,0.003403651244696564,Ashburn,US,IAD
"Ashburn, US (to IAD)",714,APPLE-ENGINEERING,36806914.69444445,24706567.597222224,49.06944444444444,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",917,MISAKA,26559237.25,33708803.0,200.365,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",1828,UNITAS,1246543.5,1653863.0714285714,1014.4357142857143,0.0,Ashburn,US,IAD
