name,download,upload,latencyMs,loss,iso_a2
Alabama,69.8986063661415,70.32730202703395,38.26104027945666,0.008278055306959823,US
Alaska,11.57259314270242,10.24479604168171,318.71279103350946,0.002601936429479428,US
Arizona,72.35041589566855,47.13718176044979,57.45385841551196,0.01720229374959875,US
Arkansas,76.09792774491798,59.9445848041755,40.83078055097716,0.013859861887275515,US
California,65.83000506594654,43.04450730331245,84.4849861981169,0.015698665066709427,US
Colorado,95.39087140903042,56.481795401299806,52.9769149521097,0.013691714060716346,US
Connecticut,95.15441601392567,64.36471581848684,33.30626655566488,0.006416746145873426,US
Delaware,82.74487897291975,45.46343029615953,63.74546036435253,0.024408468829908325,US
District of Columbia,75.13784332465688,45.64185803715097,93.80475863700899,0.005901258915847438,US
Florida,76.31121054230158,45.85636943668161,104.65922823959158,0.0061138853411198645,US
Georgia,64.52591667628937,43.84213997555941,51.72417497284379,0.010980692612023037,US
Hawaii,61.07536533106139,36.92346277292498,61.42727187121654,0.010422465367339824,US
Idaho,83.60447298921021,72.55153300755597,38.35717381840796,0.007660982589887807,US
Illinois,63.26997721635028,44.101588396920995,55.66722253386214,0.0070336367759176776,US
Indiana,78.91922575063785,54.067751140476254,41.87343790293819,0.009202337383351963,US
Iowa,84.01231407173047,58.36990261136961,38.863769979399024,0.006291901706583601,US
Kansas,108.39334408321952,77.84961233446623,35.53004256265286,0.005833738825394545,US
Kentucky,72.43198119365128,62.06487318624703,45.386981073713926,0.008392974663530351,US
Louisiana,73.72299670243149,47.82579835139388,40.823940563489,0.012559653208793294,US
Maine,90.90660840936567,65.4082026545543,45.52924338219968,0.007274814130771243,US
Maryland,70.56526385836312,33.672930905488556,57.86727526747839,0.01125533438623523,US
Massachusetts,83.80291894257745,45.21504977994245,52.711819243597304,0.008984212122735199,US
Michigan,103.87718637433699,66.87829049048754,40.385154729765496,0.014421434556831876,US
Minnesota,80.27368819077891,50.97484443185856,44.33255666859308,0.00832392602090448,US
Mississippi,65.10106390879835,43.563937802733726,42.099835113794704,0.007049306669166128,US
Missouri,90.62963240263372,68.59810919551826,49.832325308525576,0.011844339685171202,US
Montana,56.2297351332058,47.78599741129682,68.53763290374548,0.010609665793790376,US
Nebraska,110.10323256109878,90.59723244881295,40.45664039269363,0.007757870393228963,US
Nevada,100.82100544870679,65.42452406360323,44.490449026753176,0.011226354948862581,US
New Hampshire,88.0605478195538,51.60171191948819,30.73915223097113,0.0045672572942651035,US
New Jersey,79.71371549047085,43.07857952324911,59.63480977079479,0.008743290171839302,US
New Mexico,67.38397693101153,36.9946892010315,52.76538514862467,0.020195419286156306,US
New York,81.04313697219867,49.62708298692558,55.86231278478168,0.00638253713896307,US
North Carolina,67.64101001039661,46.55505359185957,54.38725979812587,0.009600146577875503,US
North Dakota,51.73342207430654,44.338563231423365,55.33235472767767,0.020556469012702736,US
Ohio,76.77500326779443,55.82913622119324,42.352405825612095,0.006993834773684214,US
Oklahoma,83.87105166117426,61.86751227567004,35.651198039420166,0.008778320988134166,US
Oregon,89.46235537272476,57.91869257510022,68.81728883461592,0.011863665295473442,US
Pennsylvania,85.81329727662181,44.10681073994797,34.933358746370644,0.013942240552178563,US
Rhode Island,65.54949718985907,29.026751389869865,40.36571089151682,0.00464225927591044,US
South Carolina,78.58724698197712,52.86387385959829,39.67723387189183,0.008884486574066288,US
South Dakota,70.08270028278794,60.00204872339603,35.58118783818603,0.013191960722524055,US
Tennessee,87.55293688920581,68.09983892909027,37.77794619224308,0.007569351813903414,US
Texas,73.78666595895488,49.20934630653579,55.13871195443842,0.011613306776085967,US
Utah,96.72459269871128,72.32276054452039,58.49072756853958,0.021189222085884456,US
Vermont,70.49006742853264,60.07865224188951,40.432921134790284,0.008570109809633401,US
Virginia,81.22126044617045,53.858012330849,71.39877496219353,0.008024574382302077,US
Washington,85.72339059247993,58.79880114164608,59.494505285423784,0.008386854874109008,US
West Virginia,58.597069900678825,44.0247417653305,44.9325200045508,0.006982782807070922,US
Wisconsin,78.83112508586818,49.71314729834011,37.11263540570675,0.010307547248126093,US
Wyoming,63.937284919791665,48.293727069010416,59.928776041666666,0.021214791656893783,US
