name,country_iso2,date,latency_p20,latency_p50,latency_p80,download_p20,download_p50,download_p80,upload_p20,upload_p50,upload_p80,download,upload,latencyMs,iso_a2
Alabama,US,202506,38.96803665161133,31.76370429992676,27.252046585083008,76.52812194824219,157.39688110351562,243.296875,11.895031929016112,17.318750381469727,24.104686737060547,157.39688110351562,17.318750381469727,31.76370429992676,US
Alaska,US,202506,81.02938079833984,69.32705688476562,55.05379486083984,37.15546798706055,109.4617156982422,200.2781219482422,11.62890625,16.431249618530273,22.94140625,109.4617156982422,16.431249618530273,69.32705688476562,US
Arizona,US,202506,28.76519775390625,25.56544303894043,23.56904983520508,159.16796875,236.3742218017578,305.5703125,16.500782012939453,22.360937118530277,29.8046875,236.3742218017578,22.360937118530277,25.56544303894043,US
Arkansas,US,202506,41.46489715576172,33.84400177001953,28.990312576293945,79.49609375,157.31796264648438,239.1664123535156,11.967187881469728,17.147655487060547,23.638280868530277,157.31796264648438,17.147655487060547,33.84400177001953,US
California,US,202506,28.06106185913086,24.952186584472656,23.05744361877441,165.3757781982422,245.4476623535156,313.96173095703125,17.096094131469727,23.264062881469727,30.431249618530277,245.4476623535156,23.264062881469727,24.952186584472656,US
Colorado,US,202506,27.35077476501465,24.275644302368164,22.361553192138672,185.8406219482422,264.50701904296875,327.5015563964844,17.854686737060547,24.114063262939453,31.610157012939453,264.50701904296875,24.114063262939453,24.275644302368164,US
Connecticut,US,202506,30.175153732299805,26.00873565673828,23.67032623291016,187.4796905517578,267.70672607421875,332.05938720703125,16.73046875,22.37109375,31.612499237060547,267.70672607421875,22.37109375,26.00873565673828,US
Delaware,US,202506,32.391475677490234,28.8236141204834,26.36436462402344,120.9359359741211,198.1609344482422,273.4234313964844,15.628125190734863,21.896875381469727,28.764062881469727,198.1609344482422,21.896875381469727,28.8236141204834,US
District of Columbia,US,202506,52.09019088745117,41.11258316040039,32.117427825927734,132.59921264648438,207.90625,278.44140625,12.943750381469728,18.37890625,26.180469512939453,207.90625,18.37890625,41.11258316040039,US
Florida,US,202506,37.88734436035156,31.309711456298828,27.28780746459961,74.4351577758789,162.05078125,249.9125061035156,12.907812118530272,18.837499618530277,25.788280487060547,162.05078125,18.837499618530277,31.309711456298828,US
Georgia,US,202506,38.00094604492188,31.26826286315918,27.232885360717773,71.7125015258789,149.28526306152344,229.6906280517578,11.817968368530272,17.190624237060547,23.719532012939453,149.28526306152344,17.190624237060547,31.26826286315918,US
Hawaii,US,202506,70.56752014160156,68.59698486328125,67.14363098144531,187.1000061035156,244.6453094482422,314.0101623535156,18.024999618530277,23.862499237060547,29.956249237060547,244.6453094482422,23.862499237060547,68.59698486328125,US
Idaho,US,202506,36.29970550537109,26.81146049499512,22.00103759765625,98.6765594482422,205.5804748535156,298.7085876464844,15.9453125,21.909374237060547,29.864843368530277,205.5804748535156,21.909374237060547,26.81146049499512,US
Illinois,US,202506,33.87210464477539,28.72562789916992,25.442554473876957,112.5945281982422,190.0867156982422,271.6351623535156,13.498437881469728,19.280467987060547,26.39503288269043,190.0867156982422,19.280467987060547,28.72562789916992,US
Indiana,US,202506,34.588382720947266,29.204347610473636,25.802783966064453,98.2328109741211,169.23983764648438,244.8890686035156,12.711718559265137,18.34765625,25.297657012939453,169.23983764648438,18.34765625,29.204347610473636,US
Iowa,US,202506,32.41761016845703,27.837085723876957,25.0519962310791,142.30703735351562,226.83203125,305.86639404296875,14.916406631469728,20.856250762939453,29.103906631469727,226.83203125,20.856250762939453,27.837085723876957,US
